policy,selection_rate,abstention_rate,joint_qos_unconditional,joint_qos_conditional,wilson_lower_95_unconditional,wilson_lower_95_conditional,mean_normalized_resource_cost_when_selected
B0_FIXED,0.9235833333333333,0.07641666666666669,0.5904166666666667,0.6392673463863575,0.5830131682815675,0.6317312367557972,2.3200000000000003
B1_COMM_ONLY,0.7531666666666667,0.24683333333333335,0.5259166666666667,0.6982739544146935,0.5184140644854207,0.690273941268861,1.3244684437656482
B2_SENSING_ONLY,0.32258333333333333,0.6774166666666667,0.16175,0.5014208214931543,0.15629735586727259,0.4882058929146192,1.056552338083196
B3_DETERMINISTIC_JOINT,0.19066666666666668,0.8093333333333333,0.16175,0.8483391608391608,0.15629735586727259,0.8355936845501951,1.190562247257562
B4_ROBUST_JOINT,0.12233333333333334,0.8776666666666667,0.12233333333333334,1.0,0.11749818265402694,0.998160377197096,1.207940929869789
ORACLE,0.6666666666666666,0.33333333333333337,0.6666666666666666,1.0,0.6595514732424368,0.9996619214040297,1.2870387865211002
