comparison,mean_paired_difference,ci_low,ci_high,confidence,n_pairs,bootstrap_resamples
B4 minus B3,-0.03941666666666667,-0.042916666666666665,-0.036,0.95,12000,10000
B4 minus B0,-0.46808333333333335,-0.47700208333333327,-0.45916666666666667,0.95,12000,10000
